babyrates
Data Source,,,
,,,
Last Updated Date,,,
,,,
Lower middle income,7595602780154.06,2.63227063881071,
Low & middle income,36996526502155.5,2.39313984191008,
Lesotho,2348771013.21241,3.018,
Late-demographic dividend,26841170398812.4,1.39694482719863,
Lithuania,66798933785.7702,1.34,
Luxembourg,85584105993.8746,1.38,
Latvia,39443126174.4335,1.57,
"Macao SAR, China",30969334705.0515,1.088,
St. Martin (French part),649206262.847519,2.415,
Morocco,141817797083.468,2.328,
Monaco,8626081320.50612,,
Moldova,13692230147.0588,1.806,
Madagascar,14554754116.5427,3.851,
Maldives,5254366310.44801,1.692,
Middle East & North Africa,3741604188474.67,2.62906963762948,
Mexico,1312557512901.28,1.822,
Marshall Islands,257784881.591797,2.729,
Middle income,36528857052973,2.14871336005665,
North Macedonia,13998355971.3044,1.6,
Mali,19309463508.0377,5.956,
Malta,18087205251.3605,1.14,
Myanmar,66262813093.4824,2.151,
Middle East & North Africa (excluding high income),1501058612658.02,2.67053695839294,
Montenegro,5861427505.12493,1.75,
Mongolia,15286441737.6686,2.837,
Northern Mariana Islands,,,
Mozambique,16168056388.9101,4.644,
Mauritania,9222536364.01272,4.398,
Mauritius,11484357947.9086,1.41,
Malawi,12602334121.6286,3.917,
Malaysia,373832428055.449,1.803,
North America,25323694505423.9,1.64003839962149,
Namibia,12446290854.8973,3.303,
New Caledonia,10071349663.8484,2.02,
Niger,14915002435.9913,6.82,
Nigeria,440838992188.478,5.237,
Nicaragua,14145880399.1935,2.321,
Netherlands,1029678338329.44,1.62,
Norway,490293364377.183,1.55,
Nepal,36924841428.7182,2.029,
Nauru,145536615.893046,3.519,
New Zealand,255551704625.831,1.64,
OECD members,58575950626292.4,1.58921842405048,
Oman,88191977373.212,2.623,
Other small states,457103617285.36,2.85960173560602,
Pakistan,348516647445.148,3.47,
Panama,67406738100,2.325,
Peru,223717799056.526,2.192,
Philippines,394087359844.049,2.748,
Palau,232903015.625,,
Papua New Guinea,26113333244.5115,3.215,
Poland,681346136411.701,1.33,
Pre-demographic dividend,1432814193024.43,4.84417126109758,
Puerto Rico,106368900000,0.907,
"Korea, Dem. People's Rep.",,1.809,
Portugal,255534839405.899,1.38,
Paraguay,39950899938.7482,2.469,
West Bank and Gaza,18109000000,3.504,
Pacific island small states,9500154100.4459,3.24101311457014,
Post-demographic dividend,55679122288175.9,1.48854416536748,
French Polynesia,6150640646.38319,1.699,
Qatar,179732009554.846,1.801,
Romania,285810244501.933,1.8,
